distw,contig, gdp_d ,comlang_off,oNameFull,dNameFull, v ,country_name,
14072.28404,0," 20,309,671,936.00 ",0,Colombia,Afghanistan, 17.26 ,Afganist‡n,
9975.873701,0," 12,923,240,448.00 ",0,Colombia,Albania," 1,339.04 ",Albania,
8568.872927,0," 210,183,405,568.00 ",0,Colombia,Algeria," 2,335.03 ",Argelia,
8458.033802,0, NA ,1,Colombia,Andorra, 5.74 ,Andorra,
9982.689271,0," 124,178,243,584.00 ",0,Colombia,Angola," 13,676.26 ",Angola,
1884.304381,0, NA ,0,Colombia,Anguilla, 42.44 ,Anguila,
4615.471326,0," 609,888,960,512.00 ",1,Colombia,Argentina," 438,931.34 ",Argentina,
12003.47492,0," 10,432,169,984.00 ",0,Colombia,Armenia, 767.39 ,Armenia,
929.58867,0, NA ,1,Colombia,Aruba," 1,716,397.75 ",Aruba,
14797.21388,0," 1,560,372,445,184.00 ",0,Colombia,Australia," 52,426.71 ",Australia,
9534.362592,0," 428,321,898,496.00 ",0,Colombia,Austria," 6,282.93 ",Austria,
12321.69381,0," 73,560,481,792.00 ",0,Colombia,Azerbaijan, 835.82 ,Azerbaiy‡n,
2185.913472,0," 8,419,999,744.00 ",0,Colombia,Bahamas," 588,528.94 ",Bahamas,
13149.6657,0," 32,890,109,952.00 ",0,Colombia,Bahrain," 1,419.04 ",Bahrein,
16378.21811,0," 149,990,457,344.00 ",0,Colombia,Bangladesh, 258.94 ,Bangla Desh,
1871.920342,0," 4,371,196,416.00 ",0,Colombia,Barbados," 39,192.23 ",Barbados,
10324.28646,0," 71,709,515,776.00 ",0,Colombia,Belarus," 4,631.42 ",Belarœs,
8749.022504,0," 524,805,537,792.00 ",0,Colombia,Belgium-Luxembourg," 515,912.47 ",BŽlgica,
1977.479662,0," 1,624,294,272.00 ",1,Colombia,Belize," 1,782.49 ",Belice,
8518.796848,0," 8,307,222,016.00 ",0,Colombia,Benin, 927.70 ,Benin,
3128.126005,0," 5,573,709,824.00 ",0,Colombia,Bermuda, 217.18 ,Bermudas,
9781.69563,0," 17,851,326,464.00 ",0,Colombia,Bosnia Herzegovina," 15,997.10 ",NA,
4305.873788,1," 2,245,673,091,072.00 ",0,Colombia,Brazil," 1,597,597.13 ",Brasil,
1795.207133,0, NA ,0,Colombia,British Virgin Islands, 85.35 ,"V’rgenes (brit‡nicas), Islas",
18424.83793,0," 16,111,135,744.00 ",0,Colombia,Brunei Darussalam, 72.40 ,Brunei Darussalam,
10362.73395,0," 54,479,872,000.00 ",0,Colombia,Bulgaria," 1,245.28 ",Bulgaria,
7999.638917,0," 10,678,202,368.00 ",0,Colombia,Burkina Faso, 75.44 ,Burkina Faso,
11654.01136,0," 2,714,507,008.00 ",0,Colombia,Burundi, 5.90 ,NA,
7766.129784,0," 31,062,026,240.00 ",0,Colombia,CÃ´te d'Ivoire," 23,808.40 ",Costa de Marfil,
5651.691366,0," 1,879,402,496.00 ",0,Colombia,Cabo Verde, 143.09 ,Cabo Verde,
18046.88024,0," 15,238,689,792.00 ",0,Colombia,Cambodia," 2,250.46 ",Camboya,
9541.938305,0," 29,567,504,384.00 ",0,Colombia,Cameroon," 2,316.17 ",Camerœn,
4892.817357,0," 1,826,768,551,936.00 ",0,Colombia,Canada," 462,781.16 ",Canad‡,
1660.567744,0, NA ,0,Colombia,Cayman Islands," 24,050.89 ","Caim‡n, Islas",
10005.51504,0," 13,513,552,896.00 ",0,Colombia,Chad," 2,219.72 ",Chad,
4382.326318,0," 277,198,766,080.00 ",1,Colombia,Chile," 1,617,905.38 ",Chile,
16279.9622,0," 9,292,023,974,912.00 ",0,Colombia,China," 5,096,813.84 ",China,
16737.3964,0," 274,012,800,000.00 ",0,Colombia,Hong Kong," 82,372.13 ",Hong Kong,
13253.27298,0," 598,925,888.00 ",0,Colombia,Comoros, 1.09 ,Comoras,
9951.512853,0," 14,085,852,160.00 ",0,Colombia,Congo," 2,150.64 ",Congo,
9717.000965,0, NA ,0,Colombia,Cook Islands, 675.00 ,NA,
1157.229933,0," 49,621,090,304.00 ",1,Colombia,Costa Rica," 306,291.41 ",Costa Rica,
9636.438711,0," 57,868,673,024.00 ",0,Colombia,Croatia," 51,859.63 ",Croacia,
1889.59222,0," 77,149,700,096.00 ",1,Colombia,Cuba," 36,118.32 ",Cuba,
11267.57331,0," 21,911,445,504.00 ",0,Colombia,Cyprus, 232.65 ,Chipre,
9542.757222,0," 208,796,024,832.00 ",0,Colombia,Czechia," 26,520.13 ",NA,
14517.1902,0, NA ,0,Colombia,Democratic People's Republic of Korea, 2.08 ,"Corea, Repœblica Democr‡tica ",
10610.83247,0," 32,690,896,896.00 ",0,Colombia,Democratic Republic of the Congo," 1,759.54 ",Repœblica Democr‡tica del Congo,
9238.730012,0," 335,877,537,792.00 ",0,Colombia,Denmark," 275,524.41 ",Dinamarca,
12895.2616,0," 1,456,344,448.00 ",0,Colombia,Djibouti, 143.66 ,Djibouti,
1826.112361,0," 516,666,656.00 ",0,Colombia,Dominica," 1,483.56 ",Dominica,
1526.606371,0," 61,163,675,648.00 ",1,Colombia,Dominican Republic," 379,715.31 ",Repœblica Dominicana ,
980.4123549,1," 94,472,675,328.00 ",1,Colombia,Ecuador," 1,938,492.50 ",Ecuador,
11203.45578,0," 271,972,827,136.00 ",0,Colombia,Egypt," 3,238.41 ",Egipto,
1811.078445,0," 24,259,100,672.00 ",1,Colombia,El Salvador," 96,797.07 ",El Salvador,
9354.158992,0," 21,461,989,376.00 ",1,Colombia,Equatorial Guinea, 97.17 ,Guinea Ecuatorial,
12412.87703,0, NA ,0,Colombia,Eritrea, 9.43 ,NA,
10043.19092,0," 24,880,265,216.00 ",0,Colombia,Estonia," 5,739.00 ",Eslovenia,
12487.17331,0," 47,525,187,584.00 ",0,Colombia,Ethiopia, 279.55 ,Etiopia,
12003.63871,0," 3,855,017,216.00 ",0,Colombia,Fiji, 103.78 ,Fiji,
9955.14365,0," 267,328,618,496.00 ",0,Colombia,Finland," 67,256.20 ",Finlandia,
8615.275569,0," 2,806,427,942,912.00 ",0,Colombia,"France, Monaco"," 454,926.78 ",Francia,
8615.578546,0, NA ,0,Colombia,French Polynesia, 608.44 ,Polinesia Francesa,
9448.679547,0," 19,343,507,456.00 ",0,Colombia,Gabon," 2,587.28 ",Gab—n,
6462.692055,0," 938,794,688.00 ",0,Colombia,Gambia, 384.49 ,NA,
11864.65228,0," 16,140,047,360.00 ",0,Colombia,Georgia," 2,940.77 ",Georgia,
9137.3289,0," 3,730,260,623,360.00 ",0,Colombia,Germany," 1,060,217.13 ",Alemania,
8202.636042,0," 48,137,027,584.00 ",0,Colombia,Ghana," 3,345.64 ",Ghana,
7792.862984,0, NA ,1,Colombia,Gibraltar, 110.26 ,Gibraltar,
10332.60151,0," 242,230,329,344.00 ",0,Colombia,Greece," 12,165.36 ",Grecia,
6987.011632,0," 2,419,043,072.00 ",0,Colombia,Greenland, 10.66 ,NA,
1624.215695,0," 835,581,696.00 ",0,Colombia,Grenada, 439.36 ,Granada,
2005.588256,0," 53,796,708,352.00 ",1,Colombia,Guatemala," 710,020.56 ",Guatemala,
6858.263918,0," 6,144,132,096.00 ",0,Colombia,Guinea, 693.58 ,Guinea,
1878.22476,0," 2,990,128,896.00 ",0,Colombia,Guyana," 7,706.83 ",Guyana,
1454.401956,0," 8,459,326,464.00 ",0,Colombia,Haiti," 54,671.96 ",Hait’,
1738.35695,0," 18,550,026,240.00 ",1,Colombia,Honduras," 216,331.39 ",Honduras,
9841.172828,0," 133,423,898,624.00 ",0,Colombia,Hungary," 1,889.69 ",Hungr’a,
7735.626322,0," 15,330,058,240.00 ",0,Colombia,Iceland, 901.21 ,Islandia,
15639.35209,0," 1,876,797,161,472.00 ",0,Colombia,India," 3,075,323.25 ",India,
19369.966,0," 868,345,643,008.00 ",0,Colombia,Indonesia," 17,325.28 ",Indonesia,
