hs6digits,NORDEMP,country,fob_exports_dollars,dNameFull
102299,427210,Líbano,11300397.6,Lebanon
102299,427210,Egipto,4924686,Egypt
102299,427210,Irak,18753190.78,Iraq
102299,427210,Jordania,8712902.5,Jordan
102299,427210,Líbano,1960712.68,Lebanon
106190,427210,Chile,50,Chile
106190,427210,Estados Unidos,900,"USA, Puerto Rico and US Virgin Islands"
106190,427210,Alemania,1277,Germany
106190,427210,Arabia Saudita,100,Saudi Arabia
106190,427210,Argentina,2760,Argentina
106190,427210,Aruba,50,Aruba
106190,427210,Austria,200,Austria
106190,427210,Belice,160,Belize
106190,427210,Bolivia,5070,Plurinational State of Bolivia
106190,427210,Brasil,2850,Brazil
106190,427210,Canadá,164430,Canada
106190,427210,Chile,12616,Chile
106190,427210,Corea,100,Republic of Korea
106190,427210,Costa Rica,4370,Costa Rica
106190,427210,Cuba,300,Cuba
106190,427210,Curazao,200,NA
106190,427210,Dinamarca,50,Denmark
106190,427210,Ecuador,1890,Ecuador
106190,427210,El Salvador,1060,El Salvador
106190,427210,Emiratos Árabes Unidos,400,United Arab Emirates
106190,427210,España,19416,Spain
106190,427210,Estados Unidos,936360.01,"USA, Puerto Rico and US Virgin Islands"
106190,427210,Filipinas,150,Philippines
106190,427210,Finlandia,50,Finland
106190,427210,Francia,14346,"France, Monaco"
106190,427210,Guatemala,230,Guatemala
106190,427210,Honduras,2570,Honduras
106190,427210,Indonesia,100,Indonesia
106190,427210,Israel,50,Israel
106190,427210,Italia,200,Italy
106190,427210,Kenia,400,Kenya
106190,427210,Kuwait,100,Kuwait
106190,427210,México,40941,Mexico
106190,427210,Nicaragua,50,Nicaragua
106190,427210,Países Bajos,400,Netherlands
106190,427210,Panamá,44470,Panama
106190,427210,Paraguay,1050,Paraguay
106190,427210,Perú,2470,Peru
106190,427210,Polonia,50,Poland
106190,427210,Portugal,250,Portugal
106190,427210,Puerto Rico,1700,NA
106190,427210,Reino Unido ,1831,United Kingdom
106190,427210,República Dominicana ,15060,Dominican Republic
106190,427210,Rumania,50,Romania
106190,427210,Suecia,100,Sweden
106190,427210,Suiza,250,"Switzerland, Liechtenstein"
106190,427210,Uruguay,130,Uruguay
106200,427210,Alemania,34950,Germany
106200,427210,Dinamarca,28000,Denmark
106200,427210,Estados Unidos,208551,"USA, Puerto Rico and US Virgin Islands"
106200,427210,Hong Kong,55815,Hong Kong
106200,427210,Indonesia,18555,Indonesia
106200,427210,Polonia,4900,Poland
106200,427210,Suiza,9000,"Switzerland, Liechtenstein"
106200,427210,"Taiwán, Provincia de China",7000,Taiwan
106900,427210,Estados Unidos,150,"USA, Puerto Rico and US Virgin Islands"
106900,427210,Jamaica,1479.2,Jamaica
110100,979143,Costa Rica,2.25,Costa Rica
110100,979143,Curazao,1050,NA
110100,979310,Ecuador,1505,Ecuador
110100,981695,Venezuela,193533.6,Venezuela
110100,986957,Curazao,241831.41,NA
110100,986957,Venezuela,62472.7,Venezuela
110100,986274,Reino Unido ,893.28,United Kingdom
110100,986274,Venezuela,11476.7,Venezuela
110100,986274,Estados Unidos,36.88,"USA, Puerto Rico and US Virgin Islands"
110100,986274,Aruba,21506.8,Aruba
110100,986274,Australia,3064.74,Australia
110100,986274,Chile,1620,Chile
110100,986274,Estados Unidos,56256.21,"USA, Puerto Rico and US Virgin Islands"
110100,986274,Hong Kong,28.65,Hong Kong
110100,986274,Panamá,527.15,Panama
110100,986274,Venezuela,2145287.6,Venezuela
110220,145390,Argentina,66000,Argentina
110220,145390,Chile,117756,Chile
110220,145390,Costa Rica,12298,Costa Rica
110220,145390,Ecuador,227984.28,Ecuador
110220,145390,Francia,7.62,"France, Monaco"
110220,145390,Guatemala,5980,Guatemala
110220,145390,Panamá,154222.25,Panama
110220,145390,Perú,161175.36,Peru
110220,145390,Trinidad y Tobago,29070.84,Trinidad and Tobago
110220,145390,Venezuela,446030,Venezuela
110220,145924,España,6563.88,Spain
110220,973353,Chile,1225956,Chile
110220,973353,España,60060,Spain
110220,973353,Perú,687512,Peru
110220,979143,Canadá,59516.1,Canada
110220,979143,Chile,682772.94,Chile
110220,979143,Costa Rica,2953969.11,Costa Rica
110220,979143,Curazao,6231,NA
110220,979143,Ecuador,318134.5,Ecuador
110220,979143,España,245593.42,Spain
110220,979143,Estados Unidos,247662.8,"USA, Puerto Rico and US Virgin Islands"
110220,979143,Italia,45339,Italy
110220,979143,Panamá,1664575.75,Panama
110220,979143,Perú,140490,Peru
110220,979143,República Dominicana ,64633.68,Dominican Republic
110220,979143,Trinidad y Tobago,41566.8,Trinidad and Tobago
110220,981021,España,18373,Spain
110220,981021,Estados Unidos,272447.09,"USA, Puerto Rico and US Virgin Islands"
110220,981021,Perú,230076.2,Peru
110220,981021,República Dominicana ,72333.59,Dominican Republic
110220,986285,Aruba,142560,Aruba
110220,986285,Curazao,501251.04,NA
110220,986285,Ecuador,2892682.8,Ecuador
110220,986285,Trinidad y Tobago,176000,Trinidad and Tobago
110220,986957,Chile,34634.85,Chile
110220,986957,Curazao,756.1,NA
110220,986957,Panamá,166526.83,Panama
110220,986957,Venezuela,1887.34,Venezuela
110220,141544,Chile,31920,Chile
110220,141544,Perú,33408,Peru
110220,986274,Reino Unido ,854.25,United Kingdom
110220,986274,Panamá,156600,Panama
110220,986274,Venezuela,146839.94,Venezuela
110220,986274,Aruba,92647.38,Aruba
110220,986274,Australia,3676,Australia
110220,986274,Chile,1072828.63,Chile
110220,986274,Curazao,7375.15,NA
110220,986274,Ecuador,12237.18,Ecuador
110220,986274,España,7170,Spain
110220,986274,Estados Unidos,49459.48,"USA, Puerto Rico and US Virgin Islands"
110220,986274,Nueva Zelandia,851.4,New Zealand
110220,986274,Panamá,365295,Panama
110220,986274,Perú,247472,Peru
110220,986274,Reino Unido ,6512.8,United Kingdom
110220,986274,Venezuela,1498633,Venezuela
110290,145924,España,4014.72,Spain
110290,366619,Perú,38814.11,Peru
110290,980016,Ecuador,4138.98,Ecuador
110290,980662,Guatemala,458,Guatemala
110290,986285,Curazao,1098,NA
110290,986285,España,20352,Spain
110290,986274,Reino Unido ,1317.81,United Kingdom
110290,986274,Venezuela,1233.1,Venezuela
110290,986274,Aruba,1937.42,Aruba
110290,986274,Chile,15340.66,Chile
110290,986274,Curazao,70,NA
110290,986274,España,1982.4,Spain
110290,986274,Guatemala,19800,Guatemala
110290,986274,Panamá,7265.96,Panama
110290,986274,Perú,19894.58,Peru
