NORDEMP,count_destiny,count_products,count_dest_prod,export2018,export2018_per_dest_prod,export2018_per_dest,export2018_per_prod,top_dest_prod
141377,6,1,7,275857.76,39408.25143,45976.29333,275857.76,176918.92
141385,8,36,80,508225.47,6352.818375,63528.18375,14117.37417,224841.5
141394,5,5,14,101194.25,7228.160714,20238.85,20238.85,24888.07
141396,1,1,1,2945,2945,2945,2945,2945
141403,2,4,4,15226.94,3806.735,7613.47,3806.735,11696
141404,5,3,6,946181.6,157696.9333,189236.32,315393.8667,437961
141405,1,5,5,45095.89,9019.178,45095.89,9019.178,20999.99
141409,1,1,1,40539.02,40539.02,40539.02,40539.02,40539.02
141410,1,1,1,20036.8,20036.8,20036.8,20036.8,20036.8
141412,14,8,35,18777055.6,536487.3029,1341218.257,2347131.95,6506416.44
141418,3,1,3,109336.5,36445.5,36445.5,109336.5,98166.5
141421,1,1,1,21088,21088,21088,21088,21088
141427,3,3,5,237576,47515.2,79192,79192,237348
141431,2,1,2,30402,15201,15201,30402,23760
141434,1,1,1,13974.2,13974.2,13974.2,13974.2,13974.2
141436,7,1,7,974719.99,139245.7129,139245.7129,974719.99,467705.61
141438,1,1,1,46113,46113,46113,46113,46113
141442,5,7,13,16100,1238.461538,3220,2300,5100
141449,2,1,2,27071395.92,13535697.96,13535697.96,27071395.92,14053096.39
141451,1,2,2,12554.15,6277.075,12554.15,6277.075,6692.59
141453,10,11,32,6064830.58,189525.9556,606483.058,551348.2345,1116626.13
141457,2,11,14,102869.99,7347.856429,51434.995,9351.817273,56678.01
141459,2,3,4,19418.47,4854.6175,9709.235,6472.823333,15846.83
141464,16,2,22,515865.45,23448.42955,32241.59063,257932.725,187474.6
141469,1,1,1,4577,4577,4577,4577,4577
141481,1,2,2,106055,53027.5,106055,53027.5,77559
141494,1,2,2,7803.6,3901.8,7803.6,3901.8,7677.6
141517,12,5,21,826214.92,39343.56762,68851.24333,165242.984,461262.53
141520,19,3,27,15071630.61,558208.5411,793243.7163,5023876.87,7125662.27
141530,2,8,10,48532.61,4853.261,24266.305,6066.57625,21668.85
141532,23,20,125,5452334.07,43618.67256,237058.003,272616.7035,1569155.06
141534,13,3,17,1742924137,102524949.2,134071087.5,580974712.3,514941977.6
141535,3,17,21,3297859.83,157040.9443,1099286.61,193991.7547,3257734.17
141539,1,1,1,1400,1400,1400,1400,1400
141544,2,1,2,65328,32664,32664,65328,33408
141547,17,16,57,4617237.75,81004.17105,271602.2206,288577.3594,747280.51
141548,6,3,10,2943941.13,294394.113,490656.855,981313.71,1953606.76
141551,4,2,5,1598444.06,319688.812,399611.015,799222.03,1446368.85
141553,79,149,1192,25267649,21197.69211,319843.6582,169581.5369,2153658.67
141554,7,6,17,285348.61,16785.21235,40764.08714,47558.10167,77878.09
141559,1,2,2,94899.53,47449.765,94899.53,47449.765,94450.61
141560,1,1,1,2844,2844,2844,2844,2844
141565,4,3,7,118428.57,16918.36714,29607.1425,39476.19,55584
141571,7,3,16,458244.31,28640.26938,65463.47286,152748.1033,231965.1
141597,2,3,3,196008.1,65336.03333,98004.05,65336.03333,141512.8
141621,1,9,9,166917.85,18546.42778,166917.85,18546.42778,130532.18
141638,2,1,2,39290.8,19645.4,19645.4,39290.8,35600.8
141666,1,1,1,23101,23101,23101,23101,23101
141668,2,2,3,55015.95,18338.65,27507.975,27507.975,27982.75
141673,1,2,2,33426.82,16713.41,33426.82,16713.41,31957.38
141674,2,3,4,163508.11,40877.0275,81754.055,54502.70333,98436.5
141678,1,1,1,10230,10230,10230,10230,10230
141686,1,7,7,12811.68,1830.24,12811.68,1830.24,3976
141708,9,1,11,233323.98,21211.27091,25924.88667,233323.98,154513.1
141711,1,2,2,16640,8320,16640,8320,8320
141713,2,3,5,58552.8,11710.56,29276.4,19517.6,23936.96
141716,3,1,3,11108,3702.666667,3702.666667,11108,4410
141717,1,2,2,4174,2087,4174,2087,2416.7
141721,1,2,2,27506.87,13753.435,27506.87,13753.435,20294.96
141731,2,3,5,102602.31,20520.462,51301.155,34200.77,40317.19
141733,1,2,2,59313.51,29656.755,59313.51,29656.755,51370.39
141734,1,3,3,21710.69,7236.896667,21710.69,7236.896667,12820.75
141736,1,4,4,42036,10509,42036,10509,34836
141737,1,2,2,70944,35472,70944,35472,51504
141738,3,2,3,21596.02,7198.673333,7198.673333,10798.01,16294.42
141742,6,2,6,83220,13870,13870,41610,43443.05
141743,2,2,4,108464.6,27116.15,54232.3,54232.3,74399.7
141749,1,1,1,5976,5976,5976,5976,5976
141759,1,1,1,24392,24392,24392,24392,24392
141761,2,2,4,158954.32,39738.58,79477.16,79477.16,83738.52
141764,6,4,9,8801594.65,977954.9611,1466932.442,2200398.663,5780648
141770,1,1,1,7425,7425,7425,7425,7425
141772,4,3,8,47658,5957.25,11914.5,15886,14970
141778,10,2,13,218008.44,16769.88,21800.844,109004.22,148716.49
141799,12,3,16,1060665.55,66291.59688,88388.79583,353555.1833,502322.95
141800,18,21,54,10734368.69,198784.6054,596353.8161,511160.4138,3938934.18
141801,1,1,1,106619,106619,106619,106619,106619
141803,9,22,33,1583247.59,47977.1997,175916.3989,71965.79955,1299658.16
141805,1,1,1,12000,12000,12000,12000,12000
141813,1,1,1,11297,11297,11297,11297,11297
141818,1,1,1,200,200,200,200,200
141826,1,3,3,10720.2,3573.4,10720.2,3573.4,7252.5
141830,10,7,15,2466582.13,164438.8087,246658.213,352368.8757,851235
141838,13,2,16,3676047.23,229752.9519,282772.8638,1838023.615,668331.96
141844,84,4,93,12068116.26,129764.691,143668.0507,3017029.065,2789098.9
141848,1,5,5,192458.15,38491.63,192458.15,38491.63,138506.14
141854,4,3,6,1291809.29,215301.5483,322952.3225,430603.0967,605218.41
141859,3,2,4,18449875.83,4612468.958,6149958.61,9224937.915,12420940.49
141861,1,1,1,258462.03,258462.03,258462.03,258462.03,258462.03
141864,4,6,21,1956229.37,93153.77952,489057.3425,326038.2283,820627.94
141872,1,9,9,28845.34,3205.037778,28845.34,3205.037778,7796.04
141875,1,5,5,18909,3781.8,18909,3781.8,10230
141876,12,11,49,401257.14,8188.921224,33438.095,36477.92182,36620.94
