NORDEMP,lncount_destiny,lncount_products,lncount_dest_prod,lnexport2018,lnexport2018_per_dest,lnexport2018_per_prod,lnexport2018_per_dest_prod,lntop_dest_prod
141377,1.791759469,0,1.945910149,12.52764065,10.73588118,12.52764065,10.5817305,12.08344683
141385,2.079441542,3.583518938,4.382026635,13.13868047,11.05923892,9.555161528,8.756653832,12.32315099
141394,1.609437912,1.609437912,2.63905733,11.52479722,9.915359304,9.915359304,8.885739886,10.12214385
141396,0,0,0,7.987864096,7.987864096,7.987864096,7.987864096,7.987864096
141403,0.693147181,1.386294361,1.386294361,9.630821506,8.937674326,8.244527145,8.244527145,9.367002182
141404,1.609437912,1.098612289,1.791759469,13.7601898,12.15075188,12.66157751,11.96843033,12.98988514
141405,0,1.609437912,1.609437912,10.71654639,10.71654639,9.107108478,9.107108478,9.952277241
141409,0,0,0,10.61002025,10.61002025,10.61002025,10.61002025,10.61002025
141410,0,0,0,9.905325862,9.905325862,9.905325862,9.905325862,9.905325862
141412,2.63905733,2.079441542,3.555348061,16.74814624,14.10908891,14.66870469,13.19279817,15.68829939
141418,1.098612289,0,1.098612289,11.60218556,10.50357327,11.60218556,10.50357327,11.4944203
141421,0,0,0,9.956459437,9.956459437,9.956459437,9.956459437,9.956459437
141427,1.098612289,1.098612289,1.609437912,12.37824285,11.27963056,11.27963056,10.76880494,12.3772827
141431,0.693147181,0,0.693147181,10.32226367,9.629116494,10.32226367,9.629116494,10.07575877
141434,0,0,0,9.544968051,9.544968051,9.544968051,9.544968051,9.544968051
141436,1.945910149,0,1.945910149,13.78990552,11.84399537,13.78990552,11.84399537,13.05559434
141438,0,0,0,10.73885018,10.73885018,10.73885018,10.73885018,10.73885018
141442,1.609437912,1.945910149,2.564949357,9.686574551,8.077136639,7.740664402,7.121625194,8.536995819
141449,0.693147181,0,0.693147181,17.11398823,16.42084105,17.11398823,16.42084105,16.45835331
141451,0,0.693147181,0.693147181,9.437806567,9.437806567,8.744659387,8.744659387,8.808756223
141453,2.302585093,2.397895273,3.465735903,15.61801717,13.31543207,13.22012189,12.15228126,13.92582231
141457,0.693147181,2.397895273,2.63905733,11.54122124,10.84807406,9.143325964,8.902163907,10.94514158
141459,0.693147181,1.098612289,1.386294361,9.873979954,9.180832773,8.775367665,8.487685593,9.670724759
141464,2.772588722,0.693147181,3.091042453,13.15360125,10.38101253,12.46045407,10.0625588,12.14139865
141469,0,0,0,8.428799041,8.428799041,8.428799041,8.428799041,8.428799041
141481,0,0.693147181,0.693147181,11.57171311,11.57171311,10.87856593,10.87856593,11.25879422
141494,0,0.693147181,0.693147181,8.962340445,8.962340445,8.269193264,8.269193264,8.946062277
141517,2.48490665,1.609437912,3.044522438,13.62461021,11.13970356,12.0151723,10.58008777,13.04172264
141520,2.944438979,1.098612289,3.295836866,16.52832477,13.58388579,15.42971248,13.2324879,15.77921323
141530,0.693147181,2.079441542,2.302585093,10.78999122,10.09684404,8.71054968,8.487406129,9.983631024
141532,3.135494216,2.995732274,4.828313737,15.51155434,12.37606013,12.51582207,10.68324061,14.26604785
141534,2.564949357,1.098612289,2.833213344,21.27883008,18.71388072,20.18021779,18.44561673,20.05956479
141535,1.098612289,2.833213344,3.044522438,15.00878428,13.91017199,12.17557094,11.96426184,14.99654247
141539,0,0,0,7.244227516,7.244227516,7.244227516,7.244227516,7.244227516
141544,0.693147181,0,0.693147181,11.08717601,10.39402883,11.08717601,10.39402883,10.41655067
141547,2.833213344,2.772588722,4.043051268,15.34530719,12.51209385,12.57271847,11.30225593,13.52419591
141548,1.791759469,1.098612289,2.302585093,14.89525976,13.10350029,13.79664747,12.59267467,14.48518784
141551,1.386294361,0.693147181,1.609437912,14.28454125,12.89824689,13.59139407,12.67510334,14.18456673
141553,4.369447852,5.003946306,7.083387848,17.04503544,12.67558759,12.04108913,9.961647592,14.58267866
141554,1.945910149,1.791759469,2.833213344,12.5614669,10.61555676,10.76970744,9.728253561,11.26289993
141559,0,0.693147181,0.693147181,11.46057403,11.46057403,10.76742685,10.76742685,11.45583233
141560,0,0,0,7.952966791,7.952966791,7.952966791,7.952966791,7.952966791
141565,1.386294361,1.098612289,1.945910149,11.68206527,10.29577091,10.58345298,9.736155124,10.92565067
141571,1.945910149,1.098612289,2.772588722,13.03515775,11.0892476,11.93654546,10.26256903,12.35434221
141597,0.693147181,1.098612289,1.098612289,12.18591126,11.49276408,11.08729898,11.08729898,11.86014545
141621,0,2.197224577,2.197224577,12.02525705,12.02525705,9.828032477,9.828032477,11.77937507
141638,0.693147181,0,0.693147181,10.57874567,9.885598493,10.57874567,9.885598493,10.48012339
141666,0,0,0,10.04763119,10.04763119,10.04763119,10.04763119,10.04763119
141668,0.693147181,0.693147181,1.098612289,10.91537842,10.22223124,10.22223124,9.816766134,10.23934353
141673,0,0.693147181,0.693147181,10.41711385,10.41711385,9.72396667,9.72396667,10.37215842
141674,0.693147181,1.098612289,1.386294361,12.00461787,11.31147069,10.90600558,10.61832351,11.49716695
141678,0,0,0,9.233079859,9.233079859,9.233079859,9.233079859,9.233079859
141686,0,1.945910149,1.945910149,9.458112534,9.458112534,7.512202385,7.512202385,8.288031568
141708,2.197224577,0,2.397895273,12.36018324,10.16295866,12.36018324,9.962287966,11.94803416
141711,0,0.693147181,0.693147181,9.719564714,9.719564714,9.026417534,9.026417534,9.026417534
141713,0.693147181,1.098612289,1.609437912,10.97768419,10.28453701,9.879071902,9.368246278,10.08317899
141716,1.098612289,0,1.098612289,9.315420848,8.21680856,9.315420848,8.21680856,8.391629968
141717,0,0.693147181,0.693147181,8.336630088,8.336630088,7.643482907,7.643482907,7.790158252
141721,0,0.693147181,0.693147181,10.22219107,10.22219107,9.52904389,9.52904389,9.918127858
141731,0.693147181,1.098612289,1.609437912,11.53861573,10.84546855,10.44000344,9.929177814,10.60453321
141733,0,0.693147181,0.693147181,10.99059238,10.99059238,10.2974452,10.2974452,10.84681722
141734,0,1.098612289,1.098612289,9.985560045,9.985560045,8.886947756,8.886947756,9.458820231
141736,0,1.386294361,1.386294361,10.64628167,10.64628167,9.259987312,9.259987312,10.45840661
141737,0,0.693147181,0.693147181,11.16964611,11.16964611,10.47649893,10.47649893,10.84941475
141738,1.098612289,0.693147181,1.098612289,9.980264317,8.881652029,9.287117137,8.881652029,9.698577997
141742,1.791759469,0.693147181,1.791759469,11.32924298,9.537483513,10.6360958,9.537483513,10.67920616
141743,0.693147181,0.693147181,1.386294361,11.59417913,10.90103195,10.90103195,10.20788477,11.21720719
141749,0,0,0,8.695506727,8.695506727,8.695506727,8.695506727,8.695506727
141759,0,0,0,10.10201049,10.10201049,10.10201049,10.10201049,10.10201049
141761,0.693147181,0.693147181,1.386294361,11.97637214,11.28322496,11.28322496,10.59007778,11.33545437
141764,1.791759469,1.386294361,2.197224577,15.99044347,14.198684,14.60414911,13.7932189,15.57002635
141770,0,0,0,8.912607964,8.912607964,8.912607964,8.912607964,8.912607964
141772,1.386294361,1.098612289,2.079441542,10.77180579,9.385511425,9.673193497,8.692364244,9.613803477
141778,2.302585093,0.693147181,2.564949357,12.29228906,9.989703964,11.59914188,9.727339699,11.90979702
141799,2.48490665,1.098612289,2.772588722,13.87440715,11.3895005,12.77579486,11.10181842,13.12699852
141800,2.890371758,3.044522438,3.988984047,16.18896118,13.29858942,13.14443874,12.19997713,15.18642073
141801,0,0,0,11.57701701,11.57701701,11.57701701,11.57701701,11.57701701
141803,2.197224577,3.091042453,3.496507561,14.27498873,12.07776415,11.18394628,10.77848117,14.07761183
141805,0,0,0,9.392661929,9.392661929,9.392661929,9.392661929,9.392661929
141813,0,0,0,9.332292483,9.332292483,9.332292483,9.332292483,9.332292483
141818,0,0,0,5.298317367,5.298317367,5.298317367,5.298317367,5.298317367
141826,0,1.098612289,1.098612289,9.279885091,9.279885091,8.181272802,8.181272802,8.889101516
141830,2.302585093,1.945910149,2.708050201,14.718344,12.4157589,12.77243385,12.0102938,13.65444352
141838,2.564949357,0.693147181,2.772588722,15.11734861,12.55239925,14.42420143,12.34475989,13.41254028
141844,4.430816799,1.386294361,4.532599493,16.30607751,11.87526071,14.91978315,11.77347802,14.84122913
141848,0,1.609437912,1.609437912,12.16763401,12.16763401,10.55819609,10.55819609,11.83866994
141854,1.386294361,1.098612289,1.791759469,14.07155434,12.68525998,12.97294206,12.27979487,13.31334468
141859,1.098612289,0.693147181,1.386294361,16.7305682,15.63195591,16.03742102,15.34427384,16.33489436
141861,0,0,0,12.46250408,12.46250408,12.46250408,12.46250408,12.46250408
141864,1.386294361,1.791759469,3.044522438,14.48652939,13.10023503,12.69476992,11.44200695,13.61782511
141872,0,2.197224577,2.197224577,10.26970373,10.26970373,8.072479156,8.072479156,8.961371191
141875,0,1.609437912,1.609437912,9.847393278,9.847393278,8.237955366,8.237955366,9.233079859
141876,2.48490665,2.397895273,3.891820298,12.90235775,10.4174511,10.50446247,9.01053745,10.50837549
141880,0.693147181,0.693147181,1.098612289,12.32729062,11.63414344,11.63414344,11.22867833,11.84603355
141883,0,0.693147181,0.693147181,15.04569026,15.04569026,14.35254308,14.35254308,15.04118125
141887,1.098612289,2.302585093,2.302585093,11.63382488,10.5352126,9.331239791,9.331239791,11.02435045
141894,2.944438979,2.944438979,5.398162702,13.01141852,10.06697954,10.06697954,7.613255819,10.37189929
141901,0.693147181,1.386294361,1.609437912,9.363287185,8.670140004,7.976992823,7.753849272,8.76570191
141908,0.693147181,0,0.693147181,13.44482201,12.75167483,13.44482201,12.75167483,13.44479303
141919,1.609437912,2.63905733,3.135494216,13.51478458,11.90534667,10.87572725,10.37929037,12.86194987
141926,0,0,0,7.751475318,7.751475318,7.751475318,7.751475318,7.751475318
141934,1.609437912,2.772588722,3.401197382,12.21058435,10.60114644,9.43799563,8.809386971,11.18036122
141935,0.693147181,0,0.693147181,9.016148643,8.323001462,9.016148643,8.323001462,8.979038633
141936,1.098612289,1.098612289,1.609437912,11.59567343,10.49706114,10.49706114,9.986235521,11.01316836
141937,0,0,0,8.350878833,8.350878833,8.350878833,8.350878833,8.350878833
141942,0,0,0,12.82070686,12.82070686,12.82070686,12.82070686,12.82070686
141944,1.098612289,1.609437912,1.945910149,10.80457713,9.705964841,9.195139218,8.858666981,10.2050459
141948,0,0.693147181,0.693147181,9.176421579,9.176421579,8.483274398,8.483274398,8.560922954
141954,0.693147181,2.890371758,3.17805383,12.36707701,11.67392983,9.476705256,9.189023183,11.20272413
