hsfull,CIIU4
0101101000,0142
0101102000,0142
0101109000,0142
0101110000,0142
0101110000,0142
0101191000,0142
0101191000,0142
0101199000,0142
0101199000,0142
0101199010,0142
0101199090,0142
0101200000,0142
0101200000,0142
0101210000,0142
0101291000,0142
0101299000,0142
0101300000,0142
0101900000,0142
0101901100,0142
0101901900,0142
0101909000,0142
0102100000,0141
0102100000,0141
0102100000,0141
0102100010,0141
0102100020,0141
0102210010,0141
0102210020,0141
0102291000,0141
0102299010,0141
0102299020,0141
0102310010,0141
0102310020,0141
0102390010,0141
0102390020,0141
0102900010,0141
0102900020,0141
0102901000,0141
0102901000,0141
0102901000,0141
0102909000,0141
0102909000,0141
0102909000,0141
0102909010,0141
0102909010,0141
0102909020,0141
0102909090,0141
0103100000,0144
0103100000,0144
0103100000,0144
0103910000,0144
0103910000,0144
0103910000,0144
0103910010,0144
0103910090,0144
0103920000,0144
0103920000,0144
0103920000,0144
0103920010,0144
0103920090,0144
0104101000,0143
0104101000,0143
0104101000,0143
0104109000,0143
0104109000,0143
0104109000,0143
0104109010,0143
0104109090,0143
0104201000,0143
0104201000,0143
0104201000,0143
0104209000,0143
0104209000,0143
0104209000,0143
0104209010,0143
0104209090,0143
0105110000,0145
0105110000,0145
0105110000,0145
0105110000,0145
0105120000,0145
0105120000,0145
0105130000,0145
0105140000,0145
0105150000,0145
0105190000,0145
0105190000,0145
0105190000,0145
0105910000,0145
0105920000,0145
0105920000,0145
0105930000,0145
0105930000,0145
0105940000,0145
0105940000,0145
0105990000,0145
0105990000,0145
0105990000,0145
0105990000,0145
0106001000,0149
0106001000,0149
0106001000,0149
0106002000,0149
0106002000,0149
0106003000,0149
0106003000,0149
0106004000,0149
0106004000,0149
0106009000,0149
0106009000,0149
0106009010,0149
0106009090,0149
0106110000,0149
0106120000,0149
0106120000,0149
0106120000,0149
0106131100,0149
0106131200,0149
0106131900,0149
0106139000,0149
0106140000,0149
0106190000,0149
0106190000,0149
0106191000,0149
0106191100,0149
0106191200,0149
0106191900,0149
0106199000,0149
0106200000,0149
0106310000,0145
0106320000,0145
0106330000,0149
0106390000,0145
0106410000,0149
0106490000,0149
0106900000,0149
0106900000,0149
0106901000,0149
0106901000,0149
0106909000,0149
0106909000,0149
0201100000,1011
0201100000,1011
0201100000,1011
0201200000,1011
0201200000,1011
0201200000,1011
0201300000,1011
0201300000,1011
0201300000,1011
0201300010,1011
0201300010,1011
0201300010,1011
0201300090,1011
0201300090,1011
0201301000,1011
0201309000,1011
0202100000,1011
0202100000,1011
0202100000,1011
0202200000,1011
0202200000,1011
0202200000,1011
0202300000,1011
0202300000,1011
0202300000,1011
0202300010,1011
0202300010,1011
0202300090,1011
0202301000,1011
0202309000,1011
0203110000,1011
0203110000,1011
0203110000,1011
0203120000,1011
0203120000,1011
0203120000,1011
0203190000,1011
0203190000,1011
0203190000,1011
0203191000,1011
0203191000,1011
0203192000,1011
0203193000,1011
0203199000,1011
0203210000,1011
0203210000,1011
0203210000,1011
0203220000,1011
0203220000,1011
0203220000,1011
0203290000,1011
0203290000,1011
0203290000,1011
0203291000,1011
0203291000,1011
0203292000,1011
0203293000,1011
0203299000,1011
0204100000,1011
0204100000,1011
0204100000,1011
0204210000,1011
0204210000,1011
0204210000,1011
0204220000,1011
0204220000,1011
0204220000,1011
0204230000,1011
0204230000,1011
0204230000,1011
0204300000,1011
0204300000,1011
0204300000,1011
0204410000,1011
0204410000,1011
0204410000,1011
0204420000,1011
0204420000,1011
0204420000,1011
0204430000,1011
0204430000,1011
0204430000,1011
0204500000,1011
0204500000,1011
0205000000,1011
0205000000,1011
0205000000,1011
0206100000,1011
0206100000,1011
0206100000,1011
0206210000,1011
0206210000,1011
0206210000,1011
0206220000,1011
0206220000,1011
0206220000,1011
0206290000,1011
0206290000,1011
0206290000,1011
0206300000,1011
0206300000,1011
0206300000,1011
0206410000,1011
0206410000,1011
0206410000,1011
0206490000,1011
0206490000,1011
0206490000,1011
0206491000,1011
0206499000,1011
0206800000,1011
0206800000,1011
0206800000,1011
0206900000,1011
0206900000,1011
0206900000,1011
0207100000,1011
0207101000,1011
0207102000,1011
0207103000,1011
0207110000,1011
0207110000,1011
0207120000,1011
0207120000,1011
0207130000,1011
0207130000,1011
0207130000,1011
0207130010,1011
0207130090,1011
0207131000,1011
0207139000,1011
0207140000,1011
0207140000,1011
0207140000,1011
0207140010,1011
0207140090,1011
0207141000,1011
0207149000,1011
0207210000,1011
0207220000,1011
0207230000,1011
0207240000,1011
0207240000,1011
0207250000,1011
0207250000,1011
0207260000,1011
0207260000,1011
0207270000,1011
0207270000,1011
0207310000,1011
0207320000,1011
0207320000,1011
0207330000,1011
0207330000,1011
0207340000,1011
0207340000,1011
0207350000,1011
0207350000,1011
0207360000,1011
0207360000,1011
0207390000,1011
0207410000,1011
0207410000,1011
0207420000,1011
0207420000,1011
0207430000,1011
0207430000,1011
0207440000,1011
0207450000,1011
0207500000,1011
0207510000,1011
0207520000,1011
0207530000,1011
0207540000,1011
0207550000,1011
0207600000,1011
0208100000,1011
0208100000,1011
0208100000,1011
0208200000,1011
0208200000,1011
0208200000,1011
0208300000,1011
0208400000,1011
0208400000,1011
0208400000,1011
0208500000,1011
0208600000,1011
0208900000,1011
0208900000,1011
0208900000,1011
0209001000,1011
0209001000,1011
0209001000,1011
0209009000,1011
0209009000,1011
0209009000,1011
0209101000,1011
0209109000,1011
0209900000,1011
0210110000,1011
0210110000,1011
0210110000,1011
0210120000,1011
0210120000,1011
0210120000,1011
0210190000,1011
0210190000,1011
0210190000,1011
0210200000,1011
0210200000,1011
0210201000,1011
0210209000,1011
0210900010,1011
0210900090,1011
0210901000,1011
0210901000,1011
0210909000,1011
0210909000,1011
0210910000,1011
0210920000,1011
0210920000,1011
0210920000,1011
0210930000,1011
0210991000,1011
0210999000,1011
0210999010,1011
0210999010,1011
0210999090,1011
0301100000,0321
0301100000,0321
0301110000,0322
0301110010,0322
0301110020,0322
0301110030,0322
0301110090,0322
0301190000,0321
0301901000,0321
0301909000,0311
0301910000,0322
0301911000,0322
0301911000,0322
0301911000,0322
0301919000,0322
0301919000,0322
0301919000,0322
0301920000,0312
0301920000,0312
0301930000,0322
0301930000,0322
0301930000,0322
0301930000,0322
0301940000,0311
0301940000,0311
0301950000,0311
0301991000,0321
0301991000,0321
0301991100,0321
0301991900,0321
0301999000,0311
0301999000,0311
0302000000,0311
0302110000,0311
0302110000,0311
0302120000,0311
0302120000,0311
0302130000,0311
0302140000,0311
0302190000,0311
0302190000,0311
0302210000,0311
0302210000,0311
0302210000,0311
0302220000,0311
0302220000,0311
0302230000,0311
0302230000,0311
0302240000,0311
0302240000,0311
0302290000,0311
0302290000,0311
0302310000,0311
0302310000,0311
0302320000,0311
0302320000,0311
0302330000,0311
0302330000,0311
0302340000,0311
0302350000,0311
0302350000,0311
0302360000,0311
0302390000,0311
0302390000,0311
0302400000,0311
0302400000,0311
0302410000,0311
0302420000,0311
0302430000,0311
0302440000,0311
0302450000,0311
0302460000,0311
0302470000,0311
0302490000,0311
0302500000,0311
0302500000,0311
0302510000,0311
0302520000,0311
0302530000,0311
0302540000,0311
0302550000,0311
0302550000,0311
0302560000,0311
0302590000,0311
0302610000,0311
0302610000,0311
0302620000,0311
0302620000,0311
0302630000,0311
0302630000,0311
0302640000,0311
0302640000,0311
0302650000,0311
0302650000,0311
0302660000,0311
0302660000,0311
0302670000,0311
0302680000,0311
0302690000,0311
0302690000,0311
0302690010,0311
0302690090,0311
0302700000,1012
0302700000,1012
0302710000,0311
0302720000,0311
0302720000,0311
0302730000,0311
0302730000,0311
0302740000,0311
0302790000,0311
0302810000,0311
0302810010,0311
0302810020,0311
0302810030,0311
0302810040,0311
0302810050,0311
0302810060,0311
0302810090,0311
0302820000,0311
0302830000,0311
0302830000,0311
0302840000,0311
0302850000,0311
0302890000,0311
