hs4,product,complex
3705,"Photographic plates and film, exposed and developed, other than motion-picture film",2.56
8457,"Machining centers, unit construction machines (single station) and multistation transfer machines, for working metal",2.38
3818,Chemical element/compound wafers doped for electronic,2.37
3707,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use",2.18
8113,"Cermets and articles thereof, including waste and scrap",2.16
2812,Halides and halide oxides of nonmetals,2.09
3702,"Photographic film in rolls, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitized, unexposed",2.08
2851,"Inorganic compounds,liquid/compressed air,amalgams ne",2.06
8209,Of other cermets,2.02
8420,"Calendering or other rolling machines, other than for metals or glass, and cylinders therefor; parts thereof",1.97
2919,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulfonated, nitrated or nitrosated derivatives",1.97
3914,"Ion-exchangers based on polymers of headings 3901 to 3913, in primary forms",1.96
3701,"Photographic plates and film in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitized, unexposed, whether or not in packs",1.95
7006,"Glass of heading 7003, 7004 or 7005, bent, edge-worked, engraved, drilled, enameled or otherwise worked, but not framed or fitted with other materials:",1.95
7221,"Bars and rods, stainless steel, hot-rolled, irreg coils",1.9
8479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof",1.88
8515,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazingor welding machines and apparatus, whether or not capable of cutting; electric machines and appara",1.88
8514,Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss; parts thereof,1.87
8460,"Machine tools for deburring, sharpening, grinding, honing, lapping, polishing or otherwise finishing metal or cermets by means of grinding stones, abrasives or polishing products, other than gear cutting, gear grinding or gear finishing machines of headin",1.87
4806,"Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets",1.87
8461,"Machine tools for planing, shaping, slotting, broaching, gear cutting, gear grinding or gear finishing, sawing, cutting-off and other machine tools working by removing metal or cermets, not elsewhere specified or included",1.86
7225,"Flat-rolled products of other alloy steel, of a width of 600 mm or more",1.83
9031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this chapter; profile projectors; parts and accessories thereof",1.82
2931,Other organo-inorganic compounds,1.8
8458,Lathes (including turning centers) for removing metal,1.79
9024,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics), and parts and accessories thereof",1.78
7107,"Base metals clad with silver, not further worked than semi- manufactured",1.75
8481,"Taps, cocks, valves and similar appliances, for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves; parts thereof",1.75
8439,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard (other than the machinery of heading 8419); parts thereof,1.74
8207,"Interchangeable tools for hand tools, whether or not power-operated, or for machine-tools (for example, for pressing, stamping, punching, tapping, threading, drilling,boring, broaching, milling, turning or screw driving), including dies for drawing or ext",1.73
8603,"Self-propelled railway or tramway coaches, vans and trucks, other than those of heading 8604",1.72
3910,Silicones in primary forms,1.72
7017,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated",1.69
9205,"Wind musical instruments (for example, clarinets, trumpets, bagpipes)",1.68
8477,"Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this chapter; parts thereof",1.66
2935,Sulfonamides,1.65
8462,"Machine tools (including presses) for working metal by forging, hammering or die-stamping; machine tools (including presses) for working metal by bending, folding, straightening, flattening, shearing, punching or notching; presses for working metal or met",1.63
9027,"Instruments and apparatus for physical or chemical analysis (for example, polarimeters,refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or",1.62
2925,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds,1.62
9012,Microscopes other than optical microscopes; diffraction apparatus; parts and accessories thereof,1.62
2842,"Other salts of inorganic acids or peroxoacids (including aluminosilicates whether or not chemically defined), other than azides",1.61
8483,"Transmission shafts (including camshafts and crankshafts) and cranks; bearing housings, housed bearings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pul",1.59
8482,"Ball or roller bearings, and parts thereof",1.58
2934,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds",1.58
7220,"Flat-rolled products of stainless steel, of a width of less than 600 mm",1.57
2907,Phenols; phenol-alcohols,1.57
7506,"Nickel plates, sheets, strip and foil",1.57
2920,"Esters of other inorganic acids of nonmetals (excluding esters of hydrogen halides) and their salts; their halogenated, sulfonated, nitrated or nitrosated derivatives",1.57
8102,"Molybdenum and articles thereof, including waste and scrap",1.56
6804,"Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives,",1.56
8427,Fork-lift trucks; other works trucks fitted with lifting or handling equipment,1.56
8419,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 8514), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting,",1.55
8505,"Electromagnets; permanent magnets and articles intended to become permanent magnets after magnetization;electromagnetic or permanent magnet chucks, clamps and similar holding devices;electromagnetic couplings, clutches and brakes; electromagnetic lifting",1.54
9026,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 9014, 9015, 9028 or 9032",1.54
5910,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material:",1.54
7318,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel",1.53
2910,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their halogenated, sulfonated, nitrated or nitrosated derivatives",1.53
2850,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849 Carbides",1.53
3906,Acrylic polymers in primary forms,1.52
9016,"Balances of a sensitivity of a 5 cg or better, with or without weights; parts and accessories thereof:",1.52
8456,"Machine tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron-beam, ionic-beam or plasma arc processes",1.51
8475,"Machines for assembling electric or electronic lamps, tubes or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware; parts thereof",1.5
8448,"Auxiliary machinery for use with machines of heading 8444, 8445, 8446 or 8447 (for example, dobbies, Jacquards, automatic stop motions and shuttle changing mechanisms); parts and accessories suitable for use solely or principally with the machines of this",1.5
2843,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals",1.49
9108,"Watch movements, complete and assembled",1.49
3908,Polyamides in primary forms,1.47
3810,"Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, brazing or welding; soldering, brazing or welding powders and pastes consisting of metal and other materials; preparations of a kind used as cores or coatings for welding electrodes or rods:",1.45
8444,"Machines to extrude, draw, cut manmade textile fibres",1.45
8208,"Knives and cutting blades, for machines or for mechanical appliances,and base metal parts thereof",1.42
8466,"Parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465, including work or tool holders, self-opening dieheads, dividing heads and other special attachments for machine tools; tool holders for any type of to",1.41
8459,"Machine tools (including way-type unit head machines) for drilling, boring, milling, threading or tapping by removing metal, other than lathes (including turning centers) of heading 8458",1.39
3507,Enzymes; prepared enzymes not elsewhere specified or included,1.39
7003,"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked",1.39
8467,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or nonelectric motor, and parts thereof",1.38
9017,"Drawing, marking-out or mathematical calculating instruments (for example,drafting machines, pantographs, protractors, drawing sets, slide rules, disc calculators);instruments for measuring length, for use in the hand (for example, measuring and tapes,mic",1.38
8543,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter; parts thereof",1.38
8101,"Tungsten (wolfram) and articles thereof, including waste and scrap",1.37
2921,Amine-function compounds,1.36
4801,Newsprint,1.36
8484,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals",1.35
