cpcrev2,CONSERVATIVE,LIBERAL,CIIU4
111,w,w,1011
112,r,r,1011
113,w,w,1011
114,r,r,1011
115,n,n,1011
116,w,w,1011
118,n,r,1011
121,w,w,1011
129,r,r,1011
141,n,r,1089
142,r,r,1011
149,r,r,1011
223,r,r,1040
224,r,w,1040
230,r,w,1040
240,r,w,1040
251,r,w,1089
252,r,r,1089
341,r,r,1012
342,n,n,1012
343,r,r,1012
344,r,r,1012
350,w,w,1012
360,r,r,1012
371,r,r,1012
372,r,r,1012
421,w,w,1051
422,w,w,1051
460,n,r,1051
470,r,r,1051
481,r,r,1051
483,n,n,1083
484,n,n,1081
488,n,n,1089
546,r,r,1020
548,r,r,1020
561,r,r,1020
564,r,r,1020
565,n,n,1020
573,w,w,1020
575,r,r,1020
577,w,w,1020
579,r,r,1020
582,n,n,1082
583,n,n,1089
585,w,w,1020
586,r,r,1020
589,n,r,1020
611,w,w,1072
612,w,w,1071
615,w,w,1071
619,n,n,1040
620,r,r,1082
711,w,w,1061
712,n,n,1063
722,r,r,1082
723,r,r,1082
730,n,n,1082
741,w,w,1089
751,w,w,1089
752,r,w,1089
811,r,r,1090
812,r,r,1051
813,w,w,1030
814,r,r,1011
819,r,r,1052
913,w,w,1030
914,n,r,1030
980,n,n,1020
1110,n,n,1104
1121,r,r,1102
1122,n,r,1102
1123,r,r,1103
1124,r,r,2011
1212,w,w,1200
1213,n,n,1200
1222,r,r,1200
1223,r,r,1200
2111,r,w,1011
2112,n,n,1011
2114,n,n,1011
2116,n,n,1011
2117,n,n,1011
2119,r,r,1011
2120,n,n,1011
2221,r,w,1020
2320,w,w,2014
2331,n,r,2014
2332,n,n,2219
2440,n,n,1690
2460,r,w,1610
2471,r,w,1610
2481,n,n,1610
2482,n,n,1610
2483,n,n,1610
2511,r,r,1709
2512,r,r,1701
2516,r,r,1701
2517,r,w,1701
2518,r,r,1701
2519,r,r,1701
2613,w,w,1311
2614,w,w,1311
2632,r,w,1030
2633,r,w,1312
2651,w,w,1311
2654,w,w,1311
2659,r,w,1311
2665,r,r,2030
2666,r,r,2030
2667,r,r,1311
2671,r,r,2030
2672,n,n,1312
2681,w,w,1011
2682,w,w,1311
2683,n,r,1011
2685,n,n,1011
2686,n,n,1311
2687,r,w,1311
2711,n,n,2012
2722,w,w,2011
2732,r,r,2394
2734,r,r,2399
2741,r,r,2011
2771,n,n,3210
2772,n,n,3210
2782,r,r,2399
2783,r,r,1089
2785,r,r,2399
2786,r,r,2410
2789,n,r,2399
2814,w,w,2011
2823,w,w,2410
2873,r,w,2429
2881,r,r,2429
2882,r,w,2432
2890,r,w,2421
2911,n,n,1011
2919,n,n,1011
2929,n,n,1089
3231,n,n,1921
3232,r,r,1910
3341,w,w,1921
3342,w,w,1921
3343,w,w,1921
3344,w,w,1921
3345,r,r,1921
3351,r,r,1921
3352,r,r,1910
3353,r,r,2011
3354,n,n,1921
3413,r,r,1921
4111,r,r,1030
4113,w,w,1011
4232,w,w,1030
4234,w,w,1030
4236,w,w,1030
4239,w,w,1030
4241,w,w,1030
4242,w,w,1030
4243,w,w,1030
4245,w,w,1030
4249,w,w,1030
4311,r,r,2029
4312,r,r,1030
4313,n,n,2011
4314,n,r,1030
5111,r,r,2011
5112,r,r,2011
5113,r,r,2011
5114,r,r,2011
5121,r,r,2011
5122,r,r,2011
5123,r,r,2011
5137,r,r,2011
5138,r,r,2011
5139,r,r,2011
5145,r,r,2011
5146,r,r,2011
5147,r,r,2100
5148,r,r,2100
5154,r,r,2011
5155,r,r,2011
5156,r,r,2011
5157,r,r,2100
5161,r,r,2011
5162,r,r,2011
5163,r,r,2011
5169,r,r,1052
5221,r,r,2011
5222,w,w,2011
5223,r,r,2011
5224,r,r,2011
5225,r,w,2012
5231,r,r,2011
5232,r,r,2012
5233,r,r,2011
5239,r,r,2011
5241,n,n,2011
5249,r,r,2011
5311,r,r,2011
5312,r,r,2011
5322,r,r,2011
5323,r,r,2011
5331,r,r,2011
5332,n,n,2022
5334,n,n,2022
5335,n,n,2022
5411,r,r,2100
5413,n,r,2100
5414,n,n,2100
5415,n,n,2100
5416,n,n,2100
5417,n,n,2100
5419,n,n,2100
5513,n,n,2029
5530,n,n,2023
5541,n,n,2023
5542,n,n,2023
5543,n,n,2023
5621,r,r,2012
5622,r,w,2012
5623,r,w,2012
5629,r,r,2012
5721,n,n,2029
5722,n,n,2029
5723,n,n,2029
5821,r,r,2013
5822,r,r,2013
5823,r,r,2013
5824,r,r,2013
5825,r,r,2013
5826,r,r,2013
5827,r,r,2013
5829,r,r,2013
5831,r,r,2013
5832,r,r,2013
5833,r,r,2013
5834,r,r,2013
5835,r,r,2013
5836,n,r,2013
5837,r,r,2013
5838,n,n,2013
5839,n,n,2013
5841,n,n,2013
5842,n,n,2013
5843,r,r,2013
5849,r,r,2013
5852,n,r,2013
5911,r,r,2021
5912,n,n,2021
5913,n,n,2021
5914,n,n,2021
5921,n,n,1052
5922,r,r,1040
5981,r,r,2011
5982,n,n,2029
5983,n,n,2023
5989,n,n,2100
6112,n,r,1511
6113,r,r,1511
6114,n,n,1511
6115,n,n,1511
6116,n,n,1511
6118,n,n,1511
6130,n,n,2219
6210,n,n,2219
6251,n,n,2211
6252,n,n,2211
6253,n,n,2211
6254,n,n,2211
6259,n,n,2211
6282,n,n,2219
6289,n,n,2219
6330,n,n,1690
6341,r,r,1620
6342,r,w,1620
6343,r,r,1620
6353,n,n,1630
6359,n,n,1640
6411,r,r,1701
6412,r,r,1701
6413,r,r,1701
6415,r,r,1701
6416,r,r,1620
6417,r,r,1701
6418,r,r,1701
6419,n,n,1701
6421,r,r,1701
6424,n,n,1709
6428,n,n,1709
6511,n,n,1311
6512,w,w,1311
6513,w,w,1311
6514,r,r,1311
6515,r,r,1311
6517,r,r,1311
6518,n,r,1311
6519,n,n,1311
6521,r,r,1312
6522,n,n,1312
6531,r,r,1312
6532,r,r,1312
6533,n,r,1312
6534,r,r,1312
6535,n,n,1312
6536,n,n,1312
6538,n,n,1312
6539,n,n,1312
6541,n,n,1312
6542,n,n,1312
6543,n,n,1312
6544,n,n,1312
6545,r,r,1312
6549,n,n,1312
6551,r,r,1391
6552,n,n,1391
