Sub_tariff,6_digits,CIIU4,description,avgtariff
101101000,101101,142,"Caballos reproductores de raza pura, vivos",
101102000,10110,142,Asnos reproductores de raza pura,
101109000,10110,142,"Asnos, mulos y burdéganos, reproductores de raza pura, vivos",
101110000,10111,142,"Caballos reproductores de raza pura, vivos",
101110000,10111,142,"Caballos reproductores de raza pura, vivos",
101191000,10119,142,Caballos para carreras,
101191000,10119,142,Caballos para carreras,
101199000,10119,142,"Los demás caballos de raza pura, vivos",
101199000,10119,142,"Los demás caballos de raza pura, vivos",
101199010,10119,142,Caballos para polo,
101199090,10119,142,"Los demás caballos, vivos",
101200000,10120,142,"Asnos, mulos y burdéganos, vivos",
101200000,10120,142,"Asnos, mulos y burdéganos, vivos",
101210000,10121,142,"Caballos reproductores de raza pura, vivos",0.050000001
101291000,10129,142,Caballos para carrera vivos,0.100000001
101299000,10129,142,Los demás caballos vivos,0.100000001
101300000,10130,142,Asnos vivos,0.100000001
101900000,10190,142,"Mulos y Burdéganos, vivos. ",0.100000001
101901100,10190,142,Caballos para carrera vivos,0.100000001
101901900,10190,142,Los demás caballos vivos.,0.100000001
101909000,10190,142,"Asnos, mulos y burdéganos.",0.100000001
102100000,10210,141,"Reproductores de raza pura, de la especie bovina.",
102100000,10210,141,"Reproductores de raza pura, de la especie bovina.",
102100000,10210,141,"Reproductores de raza pura, de la especie bovina.",
102100010,10210,141,"Reproductores de raza pura, de la especie bovina, hembras.",
102100020,10210,141,"Reproductores de raza pura, de la especie bovina, machos.",
102210010,10221,141,"Bovinos domésticos vivos reproductores de raza pura, hembras",0.050000001
102210020,10221,141,"Bovinos domésticos vivos reproductores de raza pura, machos",0.050000001
102291000,10229,141,Bovinos domésticos vivos para lidia,0.100000001
102299010,10229,141,"Los demás bovinos domésticos vivos, hembras",0.100000001
102299020,10229,141,"Los demás bovinos domésticos vivos, machos",0.100000001
102310010,10231,141,"Búfalos reproductores de raza pura ""hembras""",0.050000001
102310020,10231,141,"Búfalos reproductores de raza pura ""machos""",0.050000001
102390010,10239,141,"Los demás búfalos vivos ""hembras"".",0.100000001
102390020,10239,141,"Los demás búfalos vivos ""machos"".",0.100000001
102900010,10290,141,"Los demás animales vivos de la especie bovina ""hembras""",0.100000001
102900020,10290,141,"Los demás animales vivos de la especie bovina ""machos""",0.100000001
102901000,10290,141,"Animales vivos de la especie bovina, para lidia.",0.100000001
102901000,10290,141,"Animales vivos de la especie bovina, para lidia.",0.100000001
102901000,10290,141,"Animales vivos de la especie bovina, para lidia.",0.100000001
102909000,10290,141,Los demás animales vivos de la especie bovina.,0.100000001
102909000,10290,141,Los demás animales vivos de la especie bovina.,0.100000001
102909000,10290,141,Los demás animales vivos de la especie bovina.,0.100000001
102909010,10290,141,"Los demás animales vivos de la especie bovina, hembras.",0.100000001
102909010,10290,141,"Los demás animales vivos de la especie bovina, hembras.",0.100000001
102909020,10290,141,"Los demás animales vivos de la especie bovina, machos.",0.100000001
102909090,10290,141,Los demás animales vivos de la especie bovina.,0.100000001
103100000,10310,144,"Reproductores de raza pura, de la especie porcina.",0.050000001
103100000,10310,144,"Reproductores de raza pura, de la especie porcina.",0.050000001
103100000,10310,144,"Reproductores de raza pura, de la especie porcina.",0.050000001
103910000,10391,144,"Animales vivos de la especie porcina, de peso inferior a 50 Kg.",0.100000001
103910000,10391,144,"Animales vivos de la especie porcina, de peso inferior a 50 Kg.",0.100000001
103910000,10391,144,"Animales vivos de la especie porcina, de peso inferior a 50 Kg.",0.100000001
103910010,10391,144,"Animales vivos de la especie porcina, de peso inferior a 50 Kg., de raza pura.",0.100000001
103910090,10391,144,"Los demás animales vivos de la especie porcina, de peso inferior a 50 Kg.",0.100000001
103920000,10392,144,"Animales vivos de la especie porcina de raza pura, de peso superior o igual a 50 Kg.",0.100000001
103920000,10392,144,"Animales vivos de la especie porcina de raza pura, de peso superior o igual a 50 Kg.",0.100000001
103920000,10392,144,"Animales vivos de la especie porcina de raza pura, de peso superior o igual a 50 Kg.",0.100000001
103920010,10392,144,"Animales vivos de la especie porcina de raza pura, de peso superior o igual a 50 Kg., de raza pura.",0.100000001
103920090,10392,144,"Los demás animales vivos de la especie porcina, de peso superior o igual a 50 Kg.",0.100000001
104101000,10410,143,"Reproductores de raza pura, de la especie ovina.",0.075000003
104101000,10410,143,"Reproductores de raza pura, de la especie ovina.",0.075000003
104101000,10410,143,"Reproductores de raza pura, de la especie ovina.",0.075000003
104109000,10410,143,Los demás animales vivos de la especie ovina.,0.075000003
104109000,10410,143,Los demás animales vivos de la especie ovina.,0.075000003
104109000,10410,143,Los demás animales vivos de la especie ovina.,0.075000003
104109010,10410,143,"Ovinos de raza pura y los puros por cruza, vivos.",0.075000003
104109090,10410,143,Los demás animales vivos de la especie ovina.,0.075000003
104201000,10420,143,"Reproductores de raza pura, de la especie caprina.",0.075000003
104201000,10420,143,"Reproductores de raza pura, de la especie caprina.",0.075000003
104201000,10420,143,"Reproductores de raza pura, de la especie caprina.",0.075000003
104209000,10420,143,Los demás animales vivos de la especie caprina.,0.075000003
104209000,10420,143,Los demás animales vivos de la especie caprina.,0.075000003
104209000,10420,143,Los demás animales vivos de la especie caprina.,0.075000003
104209010,10420,143,"Caprinos de raza pura, vivos.",0.075000003
104209090,10420,143,Los demás animales vivos de la especie caprina.,0.075000003
105110000,10511,145,"Aves de la especie Gallus Domesticus, de peso inferior o igual a 185 g, vivos",0.050000001
105110000,10511,145,"Aves de la especie Gallus Domesticus, de peso inferior o igual a 185 g, vivos",0.050000001
105110000,10511,145,"Aves de la especie Gallus Domesticus, de peso inferior o igual a 185 g, vivos",0.050000001
105110000,10511,145,"Aves de la especie Gallus Domesticus, de peso inferior o igual a 185 g, vivos",0.050000001
105120000,10512,145,"Pavos (gallipavos) de las especies domésticas, vivos,  de peso inferior o igual a 185 g.",0.050000001
105120000,10512,145,"Pavos (gallipavos) de las especies domésticas, vivos,  de peso inferior o igual a 185 g.",0.050000001
105130000,10513,145,"Patos de peso inferior o igual a 185 g., vivos",0.050000001
105140000,10514,145,"Gansos de peso inferior o igual a 185 g., vivos",0.050000001
105150000,10515,145,"Pintadas de peso inferior o igual a 185 g., vivos",0.050000001
105190000,10519,145,"Patos, gansos y pintadas de las especies domésticas, de peso inferior o igual a 185 g, vivos.",
