ciiu4_2_d,Weighted sum of tariffs
1,0.135578486
2,0.034207704
3,0.131370741
5,0.020068658
6,0.020620598
7,0.026482672
8,0.021073174
10,0.088632375
11,0.047951535
12,0
12,0.147826307
12,0.042786834
13,0.098113387
14,0.117560742
15,0.094434733
16,0.039982382
17,0.048187202
18,0.047503144
19,0.01291848
20,0.05083502
21,0.019005159
22,0.041503811
23,0.019343758
24,0.029285598
25,0.036029453
26,0.028793986
27,0.031089704
28,0.039837894
29,0.057183441
30,0.085272532
31,0.027923848
32,0.075637466
36,0.035266417
37,0.066374719
38,0
41,0
42,0.067575343
46,0.035228525
49,0.055430537
50,0.00074054
51,0.015818259
52,0.005401351
55,0.036353042
61,0.046033919
64,0.019229499
68,0.067575343
82,0.032489295
84,0.025473548
85,0
85,0.03287681
86,0.042447336
90,0.087381409
90,0.039316162
97,0
101,0.087791369
103,0.116255332
104,0.086086803
105,0.118794503
106,0.130110246
107,0.075939072
108,0.054340473
351,0.054524519
352,0.032260583
452,0
